timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768087157668,986,[Stress] GET Pets Available,200,OK,2.Stress Test (Ramp Up) 2-15,text,true,,145711,153,17,45,https://petstore.swagger.io/v2/pet/findByStatus?status=available,537,0,403
1768087158153,534,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-72,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,534,0,388
1768087158293,394,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-9,text,true,,504,377,17,45,https://petstore.swagger.io/v2/pet,394,0,254
1768087158300,394,[Stress] GET Store Inventory,200,OK,2.Stress Test (Ramp Up) 2-10,text,true,,414,135,17,45,https://petstore.swagger.io/v2/store/inventory,394,0,258
1768087158340,418,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-66,text,true,,333,156,13,46,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,418,0,268
1768087158340,458,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-63,text,true,,414,135,13,46,https://petstore.swagger.io/v2/store/inventory,458,0,280
1768087158340,459,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-69,text,true,,414,135,12,45,https://petstore.swagger.io/v2/store/inventory,459,0,314
1768087158287,537,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-73,text,true,,333,156,12,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,537,0,400
1768087158403,421,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-8,text,true,,504,377,18,45,https://petstore.swagger.io/v2/pet,421,0,283
1768087158438,390,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-67,text,true,,333,156,12,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,390,0,258
1768087158243,622,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-6,text,true,,414,135,15,45,https://petstore.swagger.io/v2/store/inventory,622,0,257
1768087158094,772,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-15,text,true,,333,156,15,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,772,0,398
1768087158438,457,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-64,text,true,,414,135,12,45,https://petstore.swagger.io/v2/store/inventory,457,0,297
1768087158446,449,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-9,text,true,,414,135,15,45,https://petstore.swagger.io/v2/store/inventory,449,0,289
1768087158459,437,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-70,text,true,,414,135,11,44,https://petstore.swagger.io/v2/store/inventory,437,0,299
1768087158496,425,[Stress] GET Pets Sold,200,OK,2.Stress Test (Ramp Up) 2-3,text,true,,2457,148,18,44,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,424,0,291
1768087158490,454,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-14,text,true,,2691,151,18,44,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,454,0,307
1768087158554,399,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-71,text,true,,414,135,11,44,https://petstore.swagger.io/v2/store/inventory,398,0,264
1768087158546,407,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-11,text,true,,443,293,15,44,https://petstore.swagger.io/v2/store/order,406,0,273
1768087158517,439,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-68,text,true,,333,156,11,44,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,439,0,303
1768087158503,459,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-10,text,true,,333,156,15,44,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,458,0,321
1768087158422,540,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-74,text,true,,333,156,11,44,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,540,0,406
1768087158258,736,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-13,text,true,,2691,151,18,44,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,736,0,251
1768087158611,418,[Stress] GET Store Inventory,500,Server Error,2.Stress Test (Ramp Up) 2-1,text,false,,406,135,18,44,https://petstore.swagger.io/v2/store/inventory,418,0,283
1768087158616,413,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-2,text,true,,333,156,15,44,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,413,0,278
1768087158617,412,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-2,text,true,,504,377,18,44,https://petstore.swagger.io/v2/pet,411,0,277
1768087158596,436,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-65,text,true,,414,135,11,44,https://petstore.swagger.io/v2/store/inventory,435,0,300
1768087158626,423,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-12,text,true,,414,135,15,43,https://petstore.swagger.io/v2/store/inventory,422,0,291
1768087158652,397,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-1,text,true,,414,135,15,43,https://petstore.swagger.io/v2/store/inventory,397,0,265
1768087158556,539,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-75,text,true,,333,156,10,43,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,538,0,406
1768087158686,408,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-72,text,true,,414,135,10,43,https://petstore.swagger.io/v2/store/inventory,408,0,272
1768087158691,403,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-13,text,true,,333,156,15,43,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,403,0,267
1768087158672,429,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-3,text,true,,443,293,15,43,https://petstore.swagger.io/v2/store/order,428,0,289
1768087158176,970,[Stress] GET Pets Available,200,OK,2.Stress Test (Ramp Up) 2-16,text,true,,145513,153,18,43,https://petstore.swagger.io/v2/pet/findByStatus?status=available,710,0,393
1768087158775,407,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-14,text,true,,443,293,15,43,https://petstore.swagger.io/v2/store/order,406,0,258
1768087158385,798,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-7,text,true,,333,156,15,43,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,797,0,651
1768087158757,425,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-66,text,true,,414,135,10,43,https://petstore.swagger.io/v2/store/inventory,424,0,279
1768087158390,796,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-8,text,true,,443,293,15,42,https://petstore.swagger.io/v2/store/order,795,0,656
1768087158788,400,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-6,text,true,,2691,151,18,42,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,399,0,261
1768087158351,845,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-7,text,true,,504,377,18,42,https://petstore.swagger.io/v2/pet,845,0,713
1768087158795,400,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-5,text,true,,333,156,15,42,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,400,0,270
1768087158809,390,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-4,text,true,,414,135,15,42,https://petstore.swagger.io/v2/store/inventory,389,0,255
1768087158798,403,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-69,text,true,,333,156,9,42,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,403,0,268
1768087158827,396,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-67,text,true,,414,135,9,42,https://petstore.swagger.io/v2/store/inventory,396,0,263
1768087158824,400,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-73,text,true,,414,135,8,41,https://petstore.swagger.io/v2/store/inventory,400,0,266
